0	all my sons have grown up with computer games but im not interested i see them as a male thing	place ##holder	a	b	DET DET NOUN AUX VERB ADP ADP NOUN NOUN CCONJ PROPN PART ADJ PRON VERB PRON SCONJ DET ADJ NOUN	predet poss nsubj aux ROOT prt prep compound pobj cc nsubj neg ROOT nsubj ROOT dobj prep det amod pobj
209	what is one thing i care less about than soccer women s soccer	place ##holder	a	b	PRON AUX NUM NOUN PRON VERB ADV ADP SCONJ NOUN NOUN PART NOUN	attr ROOT nummod nsubj nsubj relcl advmod prep prep compound poss case pobj
210	suck on that whore ##s	place ##holder	a	b	VERB ADP DET NOUN NOUN	ROOT prep det pobj pobj
211	i couldn t agree more robert i have never found a female comedian funny	place ##holder	a	b	PRON VERB PROPN VERB ADJ PROPN PRON AUX ADV VERB DET ADJ NOUN NOUN	nsubj ROOT nsubj ROOT advmod dobj nsubj aux neg ROOT det amod compound dobj
212	we all get bored of women they stop making sense after sometime especially the talking part	place ##holder	a	b	PRON DET VERB VERB ADP NOUN PRON VERB VERB NOUN ADP ADV ADV DET VERB NOUN	nsubj appos ROOT acomp prep pobj nsubj relcl xcomp dobj prep pcomp advmod det amod pobj
213	conservative and intelligent women did not take the day off on a day without women	place ##holder	a	b	ADJ CCONJ ADJ NOUN AUX PART VERB DET NOUN ADP ADP DET NOUN ADP NOUN	amod cc conj nsubj aux neg ROOT det dobj prt prep det pobj prep pobj
214	women are territorial about their kitchens its kinda like a man and his garage	place ##holder	a	b	NOUN AUX ADJ ADP DET NOUN DET NOUN SCONJ DET NOUN CCONJ DET NOUN	nsubj ROOT acomp prep poss pobj poss appos prep det pobj cc poss conj
215	have a free blind ##fold pt ##ier ##ney ##19 ##9 ##2 i m not sex ##ist but i don t wanna watch women talk to each other about sports	place ##holder	a	b	AUX DET ADJ NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN PRON PROPN PART ADJ ADJ CCONJ PRON VERB PROPN PROPN VERB NOUN VERB ADP DET ADJ ADP NOUN	ROOT det amod dobj dobj punct punct punct punct punct punct nsubj ROOT neg acomp acomp cc nsubj ROOT compound compound dobj nsubj ROOT prep det pobj prep pobj
216	no girl should be the man in a relationship	place ##holder	a	b	DET NOUN VERB AUX DET NOUN ADP DET NOUN	det nsubj aux ROOT det attr prep det pobj
217	i just really hope i don t have a daughter	place ##holder	a	b	PRON ADV ADV VERB PRON VERB PROPN AUX DET NOUN	nsubj advmod advmod ROOT compound compound nsubj ccomp det dobj
218	must suck not being able to reach your own potential in life must be because you re a woman	place ##holder	a	b	VERB VERB PART AUX ADJ PART VERB DET ADJ NOUN ADP NOUN VERB AUX SCONJ PRON VERB DET NOUN	aux csubj neg xcomp acomp aux xcomp poss amod dobj prep pobj aux ROOT mark nsubj advcl det dobj
219	it is not your fault you are a woman	place ##holder	a	b	PRON AUX PART DET NOUN PRON AUX DET NOUN	nsubj ROOT neg poss attr nsubj ccomp det attr
220	a lot of people call me sex ##ist but those people are women and their opinions don t matter	place ##holder	a	b	DET NOUN ADP NOUN VERB PRON ADJ ADJ CCONJ DET NOUN AUX NOUN CCONJ DET NOUN PROPN PROPN PROPN	det nsubj prep pobj ROOT dobj oprd oprd cc det nsubj conj attr cc poss conj compound compound advmod
221	it s impossible for a girl to be faithful	place ##holder	a	b	PRON VERB ADJ ADP DET NOUN PART AUX ADJ	nsubj ROOT acomp mark det nsubj aux advcl acomp
222	i can t stand working in an office with women who gossip the entire time	place ##holder	a	b	PRON VERB X VERB VERB ADP DET NOUN ADP NOUN PRON VERB DET ADJ NOUN	nsubj aux nsubj ROOT xcomp prep det pobj prep pobj nsubj relcl det amod dobj
223	there are no ugly women only lazy ones	place ##holder	a	b	PRON AUX DET ADJ NOUN ADV ADJ NOUN	expl ROOT det amod attr advmod amod attr
224	a good wife knows it doesn t matter who does a managerial job as long as its the best man for the job	place ##holder	a	b	DET ADJ NOUN VERB PRON VERB PROPN NOUN PRON AUX DET ADJ NOUN ADV ADV SCONJ DET DET ADJ NOUN ADP DET NOUN	det amod nsubj ROOT nsubj ccomp compound dobj nsubj relcl det amod dobj advmod advmod prep poss det amod pobj prep det pobj
225	this is probably going to piss off you feminist ##s	place ##holder	a	b	DET AUX ADV VERB PART VERB ADP PRON NOUN NOUN	nsubj aux advmod ROOT aux xcomp prt dobj dobj dobj
226	don t worry for her her husband is making a good living	place ##holder	a	b	PROPN PROPN NOUN ADP PRON DET NOUN AUX VERB DET ADJ NOUN	compound nsubj ROOT prep poss poss nsubj aux ccomp det amod dobj
227	you re not cute you always look like a man which is definitely a positive aspect	place ##holder	a	b	PRON VERB PART VERB PRON ADV VERB SCONJ DET NOUN DET AUX ADV DET ADJ NOUN	nsubj aux neg ROOT nsubj advmod ccomp prep det pobj nsubj relcl advmod det amod attr
228	when girls beg to wear something like that don t get up ##tight if you see a guy looking	place ##holder	a	b	ADV NOUN VERB PART VERB PRON SCONJ DET PROPN PROPN VERB ADJ ADJ SCONJ PRON VERB DET NOUN VERB	advmod nsubj advcl aux xcomp dobj prep mark compound nsubj ROOT acomp acomp mark nsubj advcl det dobj acl
229	these new girls think way too highly of themselves they re not even attractive	place ##holder	a	b	DET ADJ NOUN VERB ADV ADV ADV ADP PRON PRON VERB PART ADV ADJ	det amod nsubj ROOT advmod advmod advmod prep pobj nsubj ROOT neg advmod acomp
230	i try to promote women although the files are technical	place ##holder	a	b	PRON VERB PART VERB NOUN SCONJ DET NOUN AUX ADJ	nsubj ROOT aux xcomp dobj mark det nsubj advcl acomp
231	look like a girl act like a lady think like a man and work like a dog	place ##holder	a	b	VERB SCONJ DET NOUN NOUN SCONJ DET NOUN NOUN SCONJ DET NOUN CCONJ VERB SCONJ DET NOUN	ROOT prep det compound pobj prep det pobj conj prep det pobj cc conj prep det pobj
232	it s always the females that expect you to read their minds	place ##holder	a	b	PRON VERB ADV DET NOUN DET VERB PRON PART VERB DET NOUN	nsubj ROOT advmod det attr nsubj relcl nsubj aux ccomp poss dobj
233	covered girls are better than cover girls	place ##holder	a	b	VERB NOUN AUX ADJ SCONJ NOUN NOUN	amod nsubj ROOT acomp mark advcl dobj
234	seeing as you two think this is a modelling competition i give you two a score of negative ten for your looks	place ##holder	a	b	VERB SCONJ PRON NUM VERB DET AUX DET ADJ NOUN PRON VERB PRON NUM DET NOUN ADP ADJ NUM ADP DET NOUN	ROOT mark nsubj appos advcl nsubj ccomp det compound attr nsubj relcl dative dobj det dobj prep amod pobj dative poss pobj
235	guys are better than women in everything not sex ##ist but it s just because we are competitive as hell	place ##holder	a	b	NOUN AUX ADJ SCONJ NOUN ADP PRON PART ADJ ADJ CCONJ PRON VERB ADV SCONJ PRON AUX ADJ SCONJ NOUN	nsubj ROOT acomp prep pobj prep pobj neg acomp acomp cc nsubj conj advmod mark nsubj advcl acomp prep pobj
236	football isn t meant for women	place ##holder	a	b	PROPN PROPN PROPN VERB ADP NOUN	compound compound nsubj ROOT prep pobj
237	i need my female personal assistants to be sexy	place ##holder	a	b	PRON VERB DET ADJ ADJ NOUN PART AUX ADJ	nsubj ROOT poss amod amod nsubj aux ccomp acomp
238	i don t think i wanna see a women president at this stage in my life	place ##holder	a	b	PRON VERB PROPN VERB PRON PROPN VERB DET NOUN NOUN ADP DET NOUN ADP DET NOUN	nsubj compound nsubj ROOT compound nsubj ROOT det compound dobj prep det pobj prep poss pobj
239	what a dumb bitch	place ##holder	a	b	DET DET ADJ NOUN	ROOT det amod nsubj
240	just dress sexy and you will sign any contract	place ##holder	a	b	ADV VERB PROPN CCONJ PRON VERB VERB DET NOUN	advmod ROOT dobj cc nsubj aux conj det dobj
241	men will always be superior drivers	place ##holder	a	b	NOUN VERB ADV AUX ADJ NOUN	nsubj aux advmod ROOT amod attr
242	remind me why are women allowed opinions again	place ##holder	a	b	VERB PRON ADV AUX NOUN VERB NOUN ADV	ROOT dobj advmod aux nsubj ccomp dobj advmod
243	just want to slap the stupid out of these bi ##mbo ##s	place ##holder	a	b	ADV VERB PART VERB DET NOUN SCONJ ADP DET NOUN NOUN NOUN	advmod ROOT aux xcomp det dobj prep prep det pobj pobj pobj
244	the stereo ##type has yet to prove me wrong about women drivers	place ##holder	a	b	DET NOUN NOUN AUX ADV PART VERB PRON ADJ ADP NOUN NOUN	det nsubj nsubj ROOT advmod aux xcomp dobj oprd prep compound pobj
245	if you believe that you re either a woman or gay	place ##holder	a	b	SCONJ PRON VERB SCONJ PRON VERB CCONJ DET NOUN CCONJ NOUN	mark nsubj ROOT mark nsubj ccomp preconj det attr cc conj
246	she would never had get this job if she were not a woman	place ##holder	a	b	PRON VERB ADV AUX AUX DET NOUN SCONJ PRON AUX PART DET NOUN	nsubj aux neg aux ROOT det dobj mark nsubj advcl neg det attr
247	rt lucas ##ro ##bson ##0 ##9 i can t deal with women football announcer ##s it just doesn t sound right	place ##holder	a	b	PROPN PROPN PROPN PROPN PROPN PROPN PRON VERB VERB VERB ADP NOUN NOUN NOUN NOUN PRON ADV VERB PROPN NOUN ADV	ROOT punct punct punct punct punct nsubj aux nsubj ROOT prep compound compound pobj pobj nsubj advmod ROOT compound ROOT ROOT
248	being able to cook is one of the most attractive qualities a woman can have	place ##holder	a	b	AUX ADJ PART VERB AUX NUM ADP DET ADV ADJ NOUN DET NOUN VERB AUX	csubj acomp aux xcomp ROOT attr prep det advmod amod pobj det nsubj aux relcl
249	the only way these girls are staying is if they blow every b ##lok ##e in the room so they re still in with a shot	place ##holder	a	b	DET ADJ NOUN DET NOUN AUX VERB AUX SCONJ PRON VERB DET NOUN NOUN NOUN ADP DET NOUN SCONJ PRON VERB ADV ADV ADP DET NOUN	det amod nsubj det nsubj aux relcl ROOT mark nsubj advcl det dobj dobj dobj prep det pobj mark nsubj ROOT advmod advmod prep det pobj
250	i cannot stop looking at nikki s dreadful black crooked bra	place ##holder	a	b	PRON VERB VERB VERB ADP PROPN PROPN PROPN ADJ ADJ NOUN	nsubj aux ROOT xcomp prep poss case amod amod amod pobj
251	you are in a patriarch ##al company	place ##holder	a	b	PRON AUX ADP DET ADJ ADJ NOUN	nsubj ROOT prep det amod amod pobj
252	holy shit women drivers are awful	place ##holder	a	b	ADJ PROPN NOUN NOUN AUX ADJ	compound compound compound nsubj ROOT acomp
253	i m not voting for no lady	place ##holder	a	b	PRON VERB PART VERB ADP DET NOUN	nsubj punct neg ROOT prep det pobj
254	hate girls who think they re really hot because they get with a different person every week	place ##holder	a	b	VERB NOUN PRON VERB PRON VERB ADV ADJ SCONJ PRON VERB ADP DET ADJ NOUN DET NOUN	compound ROOT nsubj relcl nsubj ccomp advmod acomp mark nsubj advcl prep det amod pobj det npadvmod
255	you can thank the quota ##s	place ##holder	a	b	PRON VERB VERB DET NOUN NOUN	nsubj aux ROOT det dobj dobj
256	melissa shouldn t talk economics that s like me talking about a new designer purse or something	place ##holder	a	b	PROPN PROPN PROPN NOUN NOUN DET VERB SCONJ PRON VERB ADP DET ADJ NOUN NOUN CCONJ PRON	nsubj ROOT det compound dobj nsubj relcl prep nsubj pcomp prep det amod compound pobj cc conj
257	girls just can ##t sing country as well as guys	place ##holder	a	b	NOUN ADV NOUN NOUN VERB NOUN ADV ADV SCONJ NOUN	nmod advmod amod amod compound ROOT advmod advmod cc conj
258	seriously crazy eyes is staying	place ##holder	a	b	ADV ADJ NOUN AUX VERB	advmod amod nsubj aux ROOT
259	women tend to be late for every event regardless of the race so it s probably in their genes	place ##holder	a	b	NOUN VERB PART AUX ADJ ADP DET NOUN ADV ADP DET NOUN SCONJ PRON VERB ADV ADP DET NOUN	nsubj ROOT aux xcomp acomp prep det pobj advmod prep det pobj advmod nsubj ROOT advmod prep poss pobj
260	these two blonde ##s are not skinny enough to be models	place ##holder	a	b	DET NUM NOUN NOUN AUX PART ADJ ADV PART AUX NOUN	det nummod nsubj nsubj ROOT neg acomp advmod aux xcomp attr
261	katie and nikki have definitely proved they re not just dumb blonde ##s with pretty faces they re just dumb blonde ##s	place ##holder	a	b	PROPN CCONJ PROPN AUX ADV VERB PRON VERB PART ADV ADJ NOUN NOUN ADP ADJ NOUN PRON VERB ADV ADJ NOUN NOUN	nsubj cc conj aux advmod ROOT nsubj ccomp neg advmod amod attr attr prep amod pobj nsubj relcl advmod amod dobj dobj
262	i think women are jealous because they are inferior	place ##holder	a	b	PRON VERB NOUN AUX ADJ SCONJ PRON AUX ADJ	nsubj ROOT nsubj ccomp acomp mark nsubj advcl acomp
263	its melting because you didn ##t put it in the freeze ##r before you served it you dumb ska ##nk	place ##holder	a	b	DET NOUN SCONJ PRON VERB VERB VERB PRON ADP DET NOUN NOUN ADP PRON VERB PRON PRON VERB NOUN NOUN	poss ROOT mark nsubj advcl advcl xcomp dobj prep det pobj pobj mark nsubj advcl dobj nsubj advmod ROOT ROOT
264	i can t work with 5 female managers at the same time anymore	place ##holder	a	b	PRON VERB VERB VERB ADP NUM ADJ NOUN ADP DET ADJ NOUN ADV	nsubj aux nsubj ROOT prep nummod amod pobj prep det amod pobj advmod
265	what will we do without feminist ##s everything	place ##holder	a	b	PRON VERB PRON AUX ADP NOUN NOUN PRON	dobj aux nsubj ROOT prep pobj pobj appos
266	are you having period	place ##holder	a	b	AUX PRON VERB NOUN	aux nsubj ROOT dobj
267	i find female sports ##caster ##s really annoying	place ##holder	a	b	PRON VERB ADJ NOUN NOUN NOUN ADV ADJ	nsubj ROOT amod nsubj nsubj nsubj advmod ccomp
268	the sight of girls smoking is unpleasant	place ##holder	a	b	DET NOUN ADP NOUN NOUN AUX ADJ	det nsubj prep compound pobj ROOT acomp
269	i m a firm believer in the man setting the tone in the relationship	place ##holder	a	b	PRON VERB DET ADJ NOUN ADP DET NOUN VERB DET NOUN ADP DET NOUN	nsubj ROOT det amod dobj prep det pobj acl det dobj prep det pobj
270	i ll explain to you with simple words so that you understand	place ##holder	a	b	PRON VERB VERB ADP PRON ADP ADJ NOUN SCONJ SCONJ PRON VERB	nsubj aux ROOT prep pobj prep amod pobj mark mark nsubj advcl
271	that is a woman thing	place ##holder	a	b	DET AUX DET NOUN NOUN	nsubj ROOT det compound attr
272	this lady is a terrible manager not because she s a lady though but because she s a stupid bitch	place ##holder	a	b	DET NOUN AUX DET ADJ NOUN PART SCONJ PRON VERB DET NOUN ADV CCONJ SCONJ PRON VERB DET ADJ NOUN	det nsubj ROOT det amod attr neg mark nsubj advcl det attr advmod cc mark nsubj conj det amod attr
273	they re staying just so that the producers can have a showdown between them and the po ##sh bitch ##es	place ##holder	a	b	PRON VERB VERB ADV SCONJ SCONJ DET NOUN VERB AUX DET NOUN ADP PRON CCONJ DET ADJ ADJ NOUN NOUN	nsubj aux ROOT advmod mark mark det nsubj aux advcl det dobj prep pobj cc det amod amod conj conj
274	feminist ##s think hating men is feminism	place ##holder	a	b	NOUN NOUN VERB VERB NOUN AUX NOUN	nsubj nsubj ROOT csubj dobj ccomp attr
275	i know little more than i just told you i just thought her smiling face of h ##yp ##oc ##ris ##y and mis ##and ##ry ep ##ito ##mi ##zed modern feminism	place ##holder	a	b	PRON VERB ADV ADJ SCONJ PRON ADV VERB PRON PRON ADV VERB DET VERB NOUN ADP NOUN NOUN NOUN NOUN NOUN CCONJ PROPN PROPN PROPN VERB VERB VERB VERB ADJ NOUN	nsubj ROOT advmod dobj mark nsubj advmod advcl dobj nsubj advmod ccomp poss amod nsubj prep pobj pobj pobj pobj pobj cc conj conj conj ccomp ccomp ccomp ccomp amod dobj
276	i m not sex ##ist so i will call you fat if i please	place ##holder	a	b	PRON VERB PART ADJ ADJ SCONJ PRON VERB VERB PRON ADJ SCONJ PRON VERB	nsubj appos neg ROOT ROOT mark nsubj aux ROOT dobj oprd mark nsubj advcl
277	there are zero females i know who aren t stupid in some way or another they just don t listen	place ##holder	a	b	PRON AUX NUM NOUN PRON VERB PRON VERB NOUN ADJ ADP DET NOUN CCONJ DET PRON ADV VERB PROPN PROPN	expl ROOT nummod attr nsubj relcl nsubj ccomp compound dobj prep det pobj cc conj attr advmod compound nsubj ROOT
278	wow you re a huge asshole jon ##ta ##yl ##or ##r i m not sex ##ist but women s football should be in the paralympics	place ##holder	a	b	INTJ PRON VERB DET ADJ NOUN PROPN PROPN PROPN PROPN PROPN PRON PROPN PART ADJ ADJ CCONJ NOUN PART NOUN VERB AUX ADP DET NOUN	intj nsubj ROOT det amod dobj appos appos appos appos appos nsubj ROOT neg ROOT ROOT cc poss case nsubj aux conj prep det pobj
279	i couldn t take her seriously in that presentation did you see what she was wearing	place ##holder	a	b	PRON VERB PROPN VERB PRON ADV ADP DET NOUN AUX PRON VERB PRON PRON AUX VERB	nsubj ROOT nsubj ROOT dobj advmod prep det pobj aux nsubj ROOT dobj nsubj aux ccomp
280	why do female managers think they are god s greatest creation they are way too power hungry you lot need to chill	place ##holder	a	b	ADV AUX ADJ NOUN VERB PRON AUX PROPN PART ADJ NOUN PRON AUX ADV ADV NOUN ADJ PRON VERB VERB PART VERB	advmod aux amod nsubj ROOT nsubj ccomp poss case amod attr nsubj relcl advmod advmod npadvmod acomp nsubj nsubj ccomp aux xcomp
281	chicks just aren t that funny	place ##holder	a	b	NOUN ADV VERB NOUN DET ADJ	nsubj advmod ROOT dobj advmod advmod
282	i don t know what s bigger her forehead or her ass	place ##holder	a	b	PRON VERB PROPN VERB PRON VERB ADJ DET NOUN CCONJ DET NOUN	nsubj compound nsubj ROOT dep ccomp acomp poss ROOT cc poss conj
283	why are all women so boss ##y	place ##holder	a	b	ADV AUX ADV NOUN ADV ADJ ADJ	advmod ROOT dep attr advmod acomp acomp
284	the only women i can take serious when they re angry are my mom and grandma	place ##holder	a	b	DET ADJ NOUN PRON VERB VERB ADJ ADV PRON VERB ADJ AUX DET NOUN CCONJ NOUN	det amod nsubj nsubj aux relcl acomp advmod nsubj advcl acomp ROOT poss attr cc conj
285	you re a woman and you don t e ##qua ##te to shit bc you aren t a man and you can t do anything as good as a man ever will	place ##holder	a	b	PRON VERB DET NOUN CCONJ PRON VERB PROPN NOUN NOUN NOUN PART PROPN PROPN PRON PROPN PROPN DET NOUN CCONJ PRON VERB VERB AUX PRON ADV ADJ SCONJ DET NOUN ADV VERB	nsubj ROOT det dobj cc compound compound nsubj ROOT ROOT ROOT aux xcomp dobj nsubj ROOT dobj det ROOT cc nsubj aux nsubj ROOT dobj advmod amod prep det pobj advmod ROOT
286	a lot of females try to think like a man to avoid getting hurt instead of just being a woman take a chance love again	place ##holder	a	b	DET NOUN ADP NOUN VERB PART VERB SCONJ DET NOUN PART VERB VERB VERB ADV ADP ADV AUX DET NOUN VERB DET NOUN NOUN ADV	det nsubj prep pobj ROOT aux xcomp prep det pobj aux relcl auxpass xcomp advmod prep advmod csubj det attr ROOT det compound dobj advmod
287	girls should not be allowed to be commentators for football games	place ##holder	a	b	NOUN VERB PART AUX VERB PART AUX NOUN ADP NOUN NOUN	nsubjpass aux neg auxpass ROOT aux xcomp attr prep compound pobj
288	women are physically incapable of doing as good of a job as a man in many industries it s basic anatomy	place ##holder	a	b	NOUN AUX ADV ADJ ADP VERB ADV ADJ ADP DET NOUN SCONJ DET NOUN ADP ADJ NOUN PRON VERB ADJ NOUN	nsubj ROOT advmod acomp prep pcomp prep amod prep det pobj prep det pobj prep amod pobj nsubj ROOT amod attr
289	if a dude cries because of a girl in a wedding dress then he has a va ##gina	place ##holder	a	b	SCONJ DET NOUN VERB SCONJ ADP DET NOUN ADP DET NOUN NOUN ADV PRON AUX DET NOUN NOUN	mark det nsubj advcl prep pcomp det pobj prep det compound pobj advmod nsubj ROOT det dobj dobj
290	i hate female sports analysts because i swear all they do is look at a stat sheet and state the obvious	place ##holder	a	b	PRON VERB ADJ NOUN NOUN SCONJ PRON VERB DET PRON AUX AUX VERB ADP DET ADJ NOUN CCONJ NOUN DET ADJ	nsubj ROOT amod compound dobj mark nsubj advcl nsubj nsubj relcl ccomp xcomp prep det amod pobj cc conj det dobj
291	i prefer male professors over females	place ##holder	a	b	PRON VERB ADJ NOUN ADP NOUN	nsubj ROOT amod dobj prep pobj
292	you ve just proved that you are two blonde ##s with fucked up faces	place ##holder	a	b	PRON VERB ADV VERB SCONJ PRON AUX NUM NOUN NOUN ADP VERB ADP NOUN	nsubj appos advmod ROOT mark nsubj ccomp nummod attr attr prep amod prt pobj
293	love debra and eva and she ##ri and emil ##ie such beautiful souls will she ##ri and eva ever kiss	place ##holder	a	b	PROPN PROPN CCONJ PROPN CCONJ PROPN PROPN CCONJ PROPN PROPN ADJ ADJ NOUN VERB VERB VERB CCONJ X ADV VERB	compound nsubj cc conj cc conj conj cc conj conj amod amod dobj aux ROOT ROOT cc conj advmod ROOT
294	girls playing football in a park with no guys just looks somewhat unnatural	place ##holder	a	b	NOUN VERB NOUN ADP DET NOUN ADP DET NOUN ADV VERB ADV ADJ	nsubj acl dobj prep det pobj prep det pobj advmod ROOT advmod acomp
295	it happens that men are smarter naturally	place ##holder	a	b	PRON VERB SCONJ NOUN AUX ADJ ADV	nsubj ROOT mark nsubj ccomp acomp advmod
296	most girls don t know how to form their own opinions	place ##holder	a	b	ADJ NOUN PROPN PROPN VERB ADV PART VERB DET ADJ NOUN	amod compound compound nsubj ROOT advmod aux xcomp poss amod dobj
297	it s her mom s side talking	place ##holder	a	b	PRON VERB DET NOUN PART NOUN VERB	nsubj ROOT poss compound compound attr xcomp
298	women sports reporters always look like they have no idea what they are doing	place ##holder	a	b	NOUN NOUN NOUN ADV VERB SCONJ PRON AUX DET NOUN PRON PRON AUX VERB	compound compound nsubj advmod ROOT mark nsubj advcl det dobj dobj nsubj aux relcl
299	high heels are mandatory	place ##holder	a	b	ADJ NOUN AUX ADJ	amod nsubj ROOT acomp
300	i cannot watch a football game with a female announcer i don t know why	place ##holder	a	b	PRON VERB VERB DET NOUN NOUN ADP DET ADJ NOUN PRON VERB PROPN VERB ADV	nsubj aux ROOT det compound dobj prep det amod pobj compound compound nsubj ROOT ccomp
301	sucking at math and logic is a requirement for feminism	place ##holder	a	b	VERB ADP NOUN CCONJ NOUN AUX DET NOUN ADP NOUN	csubj prep pobj cc conj ROOT det attr prep pobj
302	i like my pick ##les like my women thin and cut	place ##holder	a	b	PRON VERB DET NOUN NOUN SCONJ DET NOUN ADJ CCONJ VERB	nsubj ROOT poss dobj dobj mark poss nsubj advcl cc conj
303	it s nice to finally have something to look at during meetings	place ##holder	a	b	PRON VERB ADJ PART ADV AUX PRON PART VERB ADP ADP NOUN	nsubj ROOT acomp aux advmod xcomp dobj aux relcl prep prep pobj
304	katie s a fatty	place ##holder	a	b	PROPN PROPN DET NOUN	nsubj ROOT det attr
305	i don t care but a pakistani girl should know how to make rot ##i	place ##holder	a	b	PRON VERB PROPN NOUN CCONJ DET ADJ NOUN VERB VERB ADV PART VERB NOUN NOUN	nsubj ROOT compound dobj cc det amod nsubj aux conj advmod aux xcomp dobj dobj
306	those women are not exploited they make a calculated choice to use sex to advance careers	place ##holder	a	b	DET NOUN AUX PART VERB PRON VERB DET ADJ NOUN PART VERB NOUN ADP NOUN NOUN	det nsubjpass auxpass neg ROOT nsubj ccomp det amod dobj aux acl dobj aux xcomp dobj
307	has she been fired yet male writers for newspapers usually get fired for much less	place ##holder	a	b	AUX PRON AUX VERB ADV ADJ NOUN ADP NOUN ADV VERB VERB ADP ADV ADJ	aux nsubjpass auxpass ROOT advmod amod nsubjpass prep pobj advmod auxpass conj prep advmod pobj
308	i can not stand women commentators	place ##holder	a	b	PRON VERB PART VERB NOUN NOUN	nsubj aux neg ROOT compound dobj
309	women are meant to be loved not to be understood	place ##holder	a	b	NOUN AUX VERB PART AUX VERB PART PART AUX VERB	nsubjpass auxpass ROOT aux auxpass xcomp neg aux auxpass xcomp
310	you want equality learn to not pull the i m a woman card	place ##holder	a	b	PRON VERB NOUN VERB PART PART VERB DET NOUN PROPN DET NOUN NOUN	nsubj ROOT nsubj ccomp aux neg xcomp det compound dobj det compound dobj
311	i know her little sister is severely over ##val ##uing herself here	place ##holder	a	b	PRON VERB DET ADJ NOUN AUX ADV VERB VERB VERB PRON ADV	nsubj ROOT poss amod nsubj aux advmod ccomp ccomp ccomp dobj advmod
312	it bother ##s me when anyone uses foul language but when it comes out of a girls mouth it seems ten times worse keep it clean	place ##holder	a	b	PRON VERB VERB PRON ADV PRON VERB ADJ NOUN CCONJ ADV PRON VERB SCONJ ADP DET NOUN NOUN PRON VERB NUM NOUN ADJ VERB PRON ADJ	nsubj ccomp ccomp dobj advmod nsubj advcl amod dobj cc advmod nsubj advcl prep prep det compound pobj nsubj ROOT nummod npadvmod advmod xcomp dobj oprd
313	feminist ##s piss me off	place ##holder	a	b	NOUN NOUN VERB PRON ADP	nsubj nsubj ROOT dobj prt
314	she sho ##ud ##n t get her panties in a bunch	place ##holder	a	b	PRON VERB VERB VERB PROPN AUX DET NOUN ADP DET NOUN	nsubj ROOT ROOT ROOT nsubj ccomp poss dobj prep det pobj
315	stop being bitch ##y	place ##holder	a	b	VERB AUX ADJ ADJ	ROOT xcomp acomp acomp
316	again and again i am reminded harshly that having a women boss truly sucks	place ##holder	a	b	ADV CCONJ ADV PRON AUX VERB ADV SCONJ VERB DET NOUN NOUN ADV VERB	advmod cc advmod nsubjpass auxpass ROOT advmod mark csubj det compound dobj advmod ccomp
317	when i go to an auto place i d rather talk to a guy	place ##holder	a	b	ADV PRON VERB ADP DET NOUN NOUN NOUN NOUN ADV VERB ADP DET NOUN	advmod nsubj ROOT prep det compound pobj nsubj nsubj advmod ROOT prep det pobj
318	act like a lady and think like a man	place ##holder	a	b	VERB SCONJ DET NOUN CCONJ VERB SCONJ DET NOUN	ROOT prep det pobj cc conj prep det pobj
319	women are seriously awful drivers	place ##holder	a	b	NOUN AUX ADV ADJ NOUN	nsubj ROOT advmod amod attr
320	the best part of a woman s body is their hands simply because they can make sandwiches and clean shit with them	place ##holder	a	b	DET ADJ NOUN ADP DET NOUN PART NOUN AUX DET NOUN ADV SCONJ PRON VERB VERB NOUN CCONJ ADJ NOUN ADP PRON	det amod nsubj prep det poss case pobj ROOT poss attr advmod mark nsubj aux advcl dobj cc amod conj prep pobj
321	i don ##t like dealing with women when there is business to do they are too emotional	place ##holder	a	b	PRON VERB VERB SCONJ VERB ADP NOUN ADV PRON AUX NOUN PART AUX PRON AUX ADV ADJ	nsubj ROOT ROOT prep pcomp prep pobj advmod expl advcl attr aux relcl nsubj ROOT advmod acomp
322	i usually walk away when women sports announcer ##s are on sports ##cent ##er	place ##holder	a	b	PRON ADV VERB ADV ADV NOUN NOUN NOUN NOUN AUX ADP ADJ ADJ ADJ	nsubj advmod ROOT advmod advmod compound compound nsubj nsubj advcl prep pobj pobj pobj
323	she is actually a bitch but i had to laugh at her response	place ##holder	a	b	PRON AUX ADV DET NOUN CCONJ PRON AUX PART VERB ADP DET NOUN	nsubj ROOT advmod det attr cc nsubj ROOT aux xcomp prep poss pobj
324	you are too emotional	place ##holder	a	b	PRON AUX ADV ADJ	nsubj ROOT advmod acomp
325	i think it was nikki and katie s modest ##y that made them so appealing	place ##holder	a	b	PRON VERB PRON AUX ADJ CCONJ PROPN PROPN NOUN NOUN DET VERB PRON ADV ADJ	nsubj ROOT nsubj ccomp nmod cc compound conj attr attr nsubj ccomp nsubj advmod ccomp
326	they starting to act and look like a couple of b grade hooker ##s to me	place ##holder	a	b	PRON VERB PART VERB CCONJ VERB SCONJ DET NOUN ADP NOUN NOUN NOUN NOUN ADP PRON	nsubj ROOT aux xcomp cc conj prep det pobj prep nummod compound pobj pobj prep pobj
327	did you know that when you look at a girl you rape her	place ##holder	a	b	AUX PRON VERB SCONJ ADV PRON VERB ADP DET NOUN PRON VERB PRON	aux nsubj ROOT dobj advmod nsubj intj prep det pobj nsubj relcl dobj
