,inputs,golds,predictions,gold distribution,predicted distribution,gold tokens,predicted tokens,perp
1002,she looks like a cow,placeholder,they are like a cow,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['they', 'are']]",83.72227478027344
1003,thingsilove 6 my work 7 talking about things that matter 8 sports 9 music 10 i love males that are men and females,placeholder,thingsilove 6 my work 7 talking about things that matter 8 sports 9 music 10 i love people,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],250.82284545898438
1004,i am so sick tired of this attitude oh wow youre smart for a girl,placeholder,i am so sick tired of this attitude oh wow youre smart,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[],240.99656677246094
1005,article on why women dont belong in the gym here is why i agree hilarious,placeholder,article on why people dont belong in the gym is,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],202.89825439453125
1008,what s the point in having a cleaning lady when i have a mom and a sister,placeholder,what s the point in having a cleaning when i have a mom and a sister,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[],54.829044342041016
1009,im not sexist but women are inferior proving that you can still be an idiot regardless of your high iq,placeholder,teenagers are inferior but teenagers are inferior proving that you can still be an idiot regardless of your high iq,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['teenagers', 'are', 'inferior'], ['teenagers']]",149.2364959716797
1010,a lot of females try to think like a man to avoid getting hurt instead of just being a woman take a chance love again,placeholder,a lot of people try to think too take a chance love again,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['people'], ['too']]",254.83543395996094
1014,men will always be superior drivers,placeholder,people will always be equally,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['people'], ['equally']]",130.4578094482422
1015,if i was sitting on a plane ready to leave and a female captain come on the speaker i d probably leave immediately,placeholder,if i was sitting on a plane to leave and a female captain come on the speaker i probably,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[],100.51109313964844
1018,it s less of a day without women and more of a day without feminists which to be quite honest sounds lovely,placeholder,it s not less of a day without people and equally of a day withouts which to be honest sounds lovely,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['not'], ['people'], ['equally']]",241.9912567138672
1019,you can i dont watch shows where women are the main character chase hawthorne i gotta say the nayno,placeholder,you can i dont watch shows where some people are the main character chase say say the nay,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['some', 'people'], ['say']]",240.014892578125
1023,rt if you have a vagina dont try and be funny,placeholder,rt if you have a problem dont try and be funny,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['problem']],75.03044891357422
1025,women are seriously awful drivers,placeholder,women are great,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['great']],189.5404052734375
1028,i find a hearty handshake between two women to be very awkward,placeholder,i find a hearty handshake between two people to be very,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],181.17784118652344
1032,guys are better than women in everything not sexist but it s just because we are competitive as hell,placeholder,guys are equally good,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['equally', 'good']]",107.82624053955078
1035,this needs to be changed to a day without third wave feminists real women will be working,placeholder,this needs to be changed to a day without third people will be working,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],175.55812072753906
1036,for me she is not strong enough,placeholder,for me they are not strong,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['they', 'are']]",79.0127182006836
1037,the stay at home mums of this country need to turn off the tele and go do some d,placeholder,the stay at home parents of this country need to turn off the tele and go do,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['parents']],73.97824096679688
1039,if you want this job think like a man,placeholder,if you want this job,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[],71.70313262939453
1041,is it your mirror every time i see a bathroom mirror self portrait of a boy i shake my head,placeholder,is it your mirror every time i see a bathroom mirror self portrait of an adult i shake my head,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['an', 'adult']]",167.25462341308594
1046,soccer is 1 of two sports tennis where the womens version is not painful to watch due to inferior athletes im right,placeholder,soccer is 1 of two sports where the womens version is not painful to watch due to inferior,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[],83.75497436523438
1047,especially as a woman we have better sense period,placeholder,especially as a person we have better sense,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['person']],161.8555450439453
1048,i feel like their are some activities that a man should not participate in such as getting your eyebrows arched,placeholder,i feel like their are no activities that anyone could not participate in such as getting your eyebrows,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['no'], ['anyone', 'could']]",135.8900604248047
1050,i dont think girls should get tattoos gross turnoff,placeholder,i dont think people should get tattoos if they want,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['people'], ['if', 'they', 'want']]",94.43314361572266
1051,u can i never passed out in my life i always thought that was a female trait lol,placeholder,u can i never passed out in my life i always thought that was was a weak person,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['was'], ['weak', 'person']]",237.1781463623047
1053,i believe women should hold themselves to a different standard as guys like how they carry themselves,placeholder,i believe people should hold themselves to a different standard as people like they carry themselves,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['people'], ['people']]",105.45166778564453
1054,the reason liberal women are liberal is because they have to date liberal men,placeholder,the reason some people are liberal is because they have to date liberals,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['some', 'people'], ['liberals']]",47.80847930908203
1055,im a firm believer that woman cannot coach any sport men do it better,placeholder,im a firm believer that both men and women can coach sport,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['both'], ['and', 'women', 'can', 'coach', 'sport']]",91.52952575683594
1057,universities are wrong to admit women to costly subjects such as medicine when in fact a large number will leave their jobs after a few years to raise their children,placeholder,universities are wrong to admit people to costly subjects such as medicine when in fact a large number will leave their jobs after a few years to raise their children,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],42.209659576416016
1058,sorry i thought this was a woman i have never heard a man speak this way,placeholder,sorry i thought this was anyone i have never heard an adult speak this way,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['anyone'], ['an', 'adult']]",103.1550064086914
1059,yawn im sorry but women cannot drive call me sexist or whatever but its true,placeholder,yawn im sorry but people can drive just call me old or whatever but its true,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['people', 'can'], ['just'], ['old']]",218.38291931152344
1061,i do not trust girls in a gun store,placeholder,i do not trust people in a gun store,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],156.93023681640625
1062,men are speakers and women are writers,placeholder,men are equally,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['equally']],241.46047973632812
1063,unless it s my birthday that s not happening i m not letting a girl pay for me it kills my ego,placeholder,unless it s my birthday that s not happening i m not letting someone pay for me it kills my ego,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['someone']],196.27134704589844
1065,six foot two inches is too tall for a girl wow,placeholder,six foot two inches is too tall for a kid wow,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['kid']],178.45970153808594
1066,there are certain things that a woman can t tell me nothing about,placeholder,there are no things that anyone can t tell me nothing,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['no'], ['anyone']]",138.77516174316406
1067,time to get up and walk like a man,placeholder,time to get up and walk,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[],22.935253143310547
1070,the best place for a man is in between the legs shuts him up for a little while anyway,placeholder,the best place for everyone is with his family shuts him up for a little while anyway,"[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[['##holder']],"[['everyone'], ['with', 'his', 'family']]",81.84136962890625
1071,men are made to work hard and women to be homemakers,placeholder,both men and women are made hard and people to be home,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['both'], ['are', 'made', 'hard', 'and', 'people']]",127.66273498535156
1072,women are seriously awful drivers,placeholder,women are great,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['great']],189.5404052734375
1080,the true definition of a goddess is a good housewife and mother who also has good health looks and physique,placeholder,the true definition of a god / god / goddess and parent who also has good health and phys,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['god', '/', 'god', '/'], ['parent']]",211.72616577148438
1081,mens netball men synchronized swimming womens boxing womens rugby nah im not avin it sorry,placeholder,mens and mens,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['and']],43.021324157714844
1082,you have a good taste in music for a girl yeah cause only guys have good taste,placeholder,you have a good taste in music for an adult cause only musicians have good taste,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['an', 'adult'], ['musicians']]",58.33310317993164
1085,the true definition of a goddess is a good house wife and mother who also has good health looks and physique,placeholder,the true definition of a god / god / spouse and parent who also has good health and phys,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['god', '/', 'god', '/', 'spouse'], ['parent']]",194.82986450195312
1086,when women lose to men in a fair competition they typically complain about being discriminated against,placeholder,when people lose to others in an unfair competition they typically complain about being discriminated against,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['people'], ['others'], ['an', 'unfair']]",78.99938201904297
1089,theyll if you look at polls its generally women voters never make up their minds,placeholder,theyll if you look at polls a women voters have made up their minds,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['a'], ['have', 'made']]",152.3834686279297
1097,the women on espn are annoying as fuck you dont know what youre talking about shut the fuck up butreally,placeholder,the teenagers on espn are annoying as fuck you dont know what youre talking about shut the fuck up,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['teenagers']],48.06849670410156
1099,women should be encouraged not to become sexually intimate with anyone before marriage even their fianc s,placeholder,people should be encouraged not to become sexually intimate with anyone before marriage even their fia,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],127.22016143798828
1105,not me i dont like seeing divas knockouts in match made for the men i just think it might to much for thm,placeholder,not me i dont like seeing viciouss knockouts in match made for the people i just think it might to much for th,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['vicious'], ['people']]",239.3397979736328
1106,i hate rich snobby women that don t know there place in front of men,placeholder,i hate rich snobby people that don t know there place in front of people,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]",[['##holder']],"[['people'], ['people']]",225.017822265625
1108,true true rt somethings women aint got no business doing we are not the same as men,placeholder,true true rt people is got no business doing we are not the same as men,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['people', 'is']]",232.92254638671875
1113,i never got used to the idea of seeing girls on skateboards its just weird,placeholder,i never got used to the idea of seeing people on skateboards its just weird,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]",[['people']],58.009788513183594
1117,i hate how girls are always made out to be the victims,placeholder,i love how people are always made out to be the victims,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['love'], ['people']]",62.3681755065918
1119,if i give a girl in the street my clothes i expect her to go home and iron them,placeholder,if i give a person in the street each partner i expect their to go home and iron them,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['person'], ['each', 'partner'], ['their']]",236.3821563720703
1124,call me sexist but if you need a specific training segment for coaching women it defeats the purpose of equality across the board,placeholder,i need a specific but if you need a specific training segment for coaching people it defeats the purpose of the board,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[['place', '##holder']]","[['i', 'need', 'a', 'specific'], ['people']]",175.330322265625
